Nitrogen(mg/kg),Phosphorus(mg/kg),Potassium(mg/kg),Soil_Type,Crop_Type,pH,Electrical_Conductivity,Soil_Moisture,Soil_Temperture,N_Status,P_Status,K_Status,Primary_Fertilizer,Secondary_Fertilizer,pH_Amendment
97.61,11.19,173.97,Alluvial,Garlic,6.22,1136.34,22.6,19.14,12.39,0,0,Ammonium Chloride,Boric Acid + Ferrous Sulphate,Balance Maintain
79.56,11.18,118.78,Laterite,Barley,6.42,960.41,20.79,27.02,41.44,0,0,UAN (Urea Ammonium Nitrate),Borax + Sodium Molybdate,Balance Maintain
90.86,17.07,67.38,Clayey,Ragi,6.19,1209.04,24.03,31.08,59.14,0,82.62,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Zinc Sulphate,Balance Maintain
76.53,38.39,144.19,Red,Garlic,6.79,979.77,15.24,31.09,0,0,0,Balanced NPK (14-14-14),Sodium Molybdate + Zinc Sulphate,Balance Maintain
242.39,79.68,164.69,Alluvial,Garlic,7.64,326.19,31.01,21.54,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
116.45,45.04,315.41,Clayey,Cotton,8.47,604.3,36.94,22.54,33.55,0,0,Ammonium Sulphate,Copper Sulphate + Manganese Sulphate,Ferrous Sulphate
195.08,64.13,250.16,Black,Ragi,8.28,545.22,28.58,23.86,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
70.15,7.73,89.04,Alkaline,Barley,8.8,2398.97,13.28,20.96,19.85,0,40.96,Urea + MOP (Muriate of Potash),Borax + Ferrous Sulphate + Zinc Sulphate,Gypsum
196.96,73.98,109.9,Laterite,Jowar,7.73,640.49,21.83,27.18,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
181.28,9.16,174.01,Clayey,Bajra,6.37,893.9,21.63,21.62,0,0.84,0,DAP (Di-Ammonium Phosphate),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
73.64,24.95,177.69,Red,Groundnut,5.32,752.62,24.96,33.44,0,3.05,0,SSP (Single Super Phosphate),Ferrous Sulphate + Manganese Sulphate,Quicklime
66.5,9.89,206.09,Alkaline,Soybean,8.19,1700.26,11.35,29.61,23.5,0,0,Ammonium Nitrate,Borax + Ferrous Sulphate + Zinc Sulphate,Gypsum
178.28,9.04,101.96,Clayey,Soybean,6.39,630.63,30.51,27.77,0,0.96,48.04,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Zinc Sulphate,Balance Maintain
117.99,6.27,135.94,Alkaline,Barley,8.97,2291.96,24.19,24.73,0,0,0,Balanced NPK (14-14-14),Manganese Sulphate + Sodium Molybdate,Ammonium Sulphate
143.51,48.72,245.6,Arid,Rice,7.6,580.23,13.9,22.29,0,0,0,Balanced NPK (14-14-14),Boric Acid + Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
52.46,41.13,148.75,Red,Bajra,6.98,662.85,16.42,31.3,19.54,0,0,Ammonium Sulphate,Borax + Ferrous Sulphate,Balance Maintain
79.79,6.56,155.21,Alkaline,Cotton,8.41,1254.79,20.93,32.48,10.21,0,0,UAN (Urea Ammonium Nitrate),Ammonium Molybdate + Zinc Sulphate,Aluminium Sulphate
108.77,15.42,202.66,Clayey,Soybean,6.55,921.49,30.29,19.19,41.23,0,0,Ammonium Chloride,Manganese Sulphate + Zinc Sulphate,Balance Maintain
174.93,2,189.44,Clayey,Rice,5.88,1305.92,24.81,19.33,0,8,0,Rock Phosphate,Copper Sulphate + Manganese Sulphate,Dolomitic Lime
29.66,4.3,138.73,Laterite,Soybean,5.79,205.44,25.64,33.1,91.34,4.7,0,DAP (Di-Ammonium Phosphate),Borax + Zinc Sulphate,Wood Ash
193.23,72.5,171.93,Laterite,Barley,8.6,383.45,23.05,30.09,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
71.94,11.06,167.44,Alluvial,Mustard,6.12,851.99,29.79,27.81,38.06,0,0,Ammonium Sulphate,Boric Acid + Ferrous Sulphate,Balance Maintain
83.77,10.92,98.66,Laterite,Soybean,6.7,899.92,27.38,22.8,37.23,0,0,UAN (Urea Ammonium Nitrate),Boric Acid + Ferrous Sulphate,Balance Maintain
145.53,57.72,235.76,Arid,Bajra,7.63,709.98,7.94,24.26,0,0,0,Balanced NPK (14-14-14),Borax + Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
264.96,7.43,111.6,Clayey,Ragi,6.53,1218.73,24.67,26.93,0,2.57,38.4,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ferrous Sulphate + Zinc Sulphate,Balance Maintain
185.19,13.59,151.11,Alluvial,Rice,6.16,540.95,28.43,30.57,0,0,0.89,Potassium Carbonate,Copper Sulphate + Ammonium Molybdate,Balance Maintain
133.53,13.63,67.58,Laterite,Sugarcane,6.55,759.83,18.8,30.53,0,0,21.42,MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
219.34,2,141.67,Arid,Cotton,7.85,1430,16.5,34.64,0,4,0,TSP (Triple Super Phosphate),Boric Acid + Manganese Sulphate,Ferrous Sulphate
87.57,7.15,115.63,Alluvial,Maize,5.83,208.96,25.01,31.09,22.43,0.45,36.37,Balanced NPK (14-14-14),Borax + Zinc Sulphate,Quicklime
97.08,6.91,165.89,Black,Barley,7.03,739.67,26.79,27.08,17.92,1.09,0,DAP (Di-Ammonium Phosphate),Manganese Sulphate + Zinc Sulphate,Balance Maintain
114.99,10.65,62.84,Laterite,Rice,5.54,444.42,17.3,33.25,6.01,0,26.16,Urea + MOP (Muriate of Potash),Borax + Zinc Sulphate,Dolomitic Lime
161.96,66.39,197.25,Arid,Mustard,8.01,588.94,5.92,36.65,0,0,0,Balanced NPK (14-14-14),Borax + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ammonium Sulphate
127.26,10.84,154.27,Laterite,Chickpea,5.78,414.88,21.76,21.9,0,0,0,Balanced NPK (14-14-14),Borax + Ammonium Molybdate,Wood Ash
217.07,5.53,133.86,Clayey,Wheat,6.16,1082.64,21.17,25.73,0,4.47,16.14,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ferrous Sulphate + Sodium Molybdate,Balance Maintain
239.51,63.08,176.01,Arid,Soybean,8.2,681.81,13.1,23.43,0,0,0,Balanced NPK (14-14-14),Boric Acid + Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
144.73,8.44,77.45,Black,Groundnut,6.68,880.03,28.66,28.34,0,0,69.55,Potassium-Magnesium Sulphate,Calcium Chloride + Ferrous Sulphate,Balance Maintain
129.98,7.21,164.93,Arid,Rice,8.91,1318.02,17.43,36.1,3.02,0,0,Ammonium Sulphate,Borax + Zinc Sulphate,Gypsum
114.09,3.62,127.51,Red,Maize,5.69,389.83,17.66,29.55,0,24.38,0,SSP (Single Super Phosphate),Copper Sulphate + Manganese Sulphate,Dolomitic Lime
128.96,4.82,204.07,Arid,Groundnut,8.21,1584.04,12.22,36.57,4.04,1.18,0,DAP (Di-Ammonium Phosphate),Borax + Ferrous Sulphate + Zinc Sulphate,Gypsum
102.76,4.58,162.93,Alkaline,Wheat,8.43,1154.35,19.66,26.1,0,1.42,0,Rock Phosphate,Manganese Sulphate + Sodium Molybdate,Elemental Sulphur
79.95,13.73,78.32,Alluvial,Mustard,5.14,125.72,25.52,18.68,30.05,0,73.68,Urea + MOP (Muriate of Potash),Sodium Molybdate,Hydrated Lime
129.69,9.34,68.68,Black,Cotton,7.43,968.19,36.52,28.84,0,0,78.32,SOP (Sulphate of Potash),Borax + Ferrous Sulphate,Balance Maintain
171.26,10.68,124.94,Laterite,Sugarcane,6.21,873.56,25.82,29.08,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Sodium Molybdate,Balance Maintain
82.57,9.43,58.48,Laterite,Sugarcane,5.55,70.86,27.09,31.46,38.43,0,30.52,Urea + MOP (Muriate of Potash),Copper Sulphate + Ferrous Sulphate,Hydrated Lime
61.72,8.42,120.87,Black,Cotton,7.09,571.59,23.69,22.83,53.28,0,26.13,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
84.33,4.71,124.7,Alkaline,Cotton,8.61,425.77,17.25,26.12,5.67,1.29,5.3,Balanced NPK (14-14-14),Copper Sulphate + Sodium Molybdate,Aluminium Sulphate
67.73,30.12,96.93,Red,Ragi,6.2,934.16,23.49,32.05,4.27,0,27.07,Urea + MOP (Muriate of Potash),Borax + Zinc Sulphate,Balance Maintain
70.17,7.31,132.68,Alkaline,Chickpea,9.34,2004.16,10.68,35.14,19.83,0,0,Urea,Boric Acid + Ferrous Sulphate + Zinc Sulphate,Ferrous Sulphate
98.16,10.63,74.78,Black,Chickpea,7.05,986.17,22.85,25.35,16.84,0,72.22,Urea + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Balance Maintain
125.76,6.16,91.73,Laterite,Maize,5.55,1377.95,24.79,26.23,0,2.84,0,DAP (Di-Ammonium Phosphate),Copper Sulphate + Zinc Sulphate,Quicklime
118.81,9.62,106.61,Black,Bajra,7.45,523.67,21.94,22.51,0,0,40.39,Potassium-Magnesium Sulphate,Copper Sulphate + Manganese Sulphate,Balance Maintain
74.71,7.49,170.57,Alkaline,Groundnut,7.94,2500,23.84,21.16,15.29,0,0,Urea,Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
88.42,4.28,102.42,Laterite,Cotton,5.86,766.07,22.99,26.15,32.58,4.72,0,DAP (Di-Ammonium Phosphate),Borax + Manganese Sulphate,Agricultural Lime
106.08,4.57,172.04,Alkaline,Mustard,8.28,2500,18.68,33.32,0,1.43,0,Rock Phosphate,Ferrous Sulphate + Zinc Sulphate,Ferrous Sulphate
146.55,6.68,119.46,Arid,Maize,7.85,1387.42,13.23,29.25,0,0,0,Balanced NPK (14-14-14),Borax + Ferrous Sulphate + Zinc Sulphate,Ferrous Sulphate
61.11,6.38,130.24,Alkaline,Onion,8.66,1277.52,15.94,22.13,28.89,0,0,UAN (Urea Ammonium Nitrate),Borax + Sodium Molybdate,Aluminium Sulphate
155.15,4.05,32.21,Alluvial,Groundnut,6.29,1074.25,27.79,20.26,0,3.55,119.79,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Calcium Chloride + Ferrous Sulphate,Balance Maintain
34.58,56.78,73.47,Red,Bajra,5.64,991.45,26.13,18.4,37.42,0,50.53,Urea + MOP (Muriate of Potash),Boric Acid + Copper Sulphate,Agricultural Lime
204.21,7.5,77.04,Clayey,Onion,6.67,1066.01,35.92,28.29,0,2.5,72.96,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Sodium Molybdate,Balance Maintain
178.11,45.33,157.49,Black,Rice,8.21,451.46,31.99,27.19,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Elemental Sulphur
110.42,7.39,122.8,Red,Bajra,6.46,933.23,17.62,25.55,0,20.61,1.2,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Balance Maintain
123.03,5.58,50.42,Black,Maize,7.48,1158.76,23.93,20.32,0,2.42,96.58,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Balance Maintain
192.34,75.63,231.33,Arid,Moong,8.46,686.1,11.45,35.5,0,0,0,Balanced NPK (14-14-14),Borax + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ammonium Sulphate
116.78,8.46,183.45,Black,Maize,6.77,686.7,23.97,23.46,0,0,0,Balanced NPK (14-14-14),Borax + Copper Sulphate,Balance Maintain
188.82,63.52,193.83,Alkaline,Moong,7.91,569.25,11.22,21.4,0,0,0,Balanced NPK (14-14-14),Borax + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
112.35,3.67,120.28,Alluvial,Barley,6.13,1097.5,18.24,27.09,0,3.93,31.72,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Sodium Molybdate,Balance Maintain
63.44,39.97,146.47,Red,Moong,7.12,500.55,24.95,28.87,8.56,0,0,UAN (Urea Ammonium Nitrate),Ferrous Sulphate + Sodium Molybdate,Balance Maintain
94.16,8.42,125.5,Arid,Cotton,7.91,1129.23,7.07,37.46,38.84,0,0,UAN (Urea Ammonium Nitrate),Borax + Ferrous Sulphate + Zinc Sulphate,Ferrous Sulphate
87.49,5.11,115.8,Alkaline,Onion,6.25,316,14.69,26.57,2.51,0.89,14.2,Balanced NPK (14-14-14),Ferrous Sulphate + Sodium Molybdate,Balance Maintain
86.27,9.3,160.55,Alluvial,Ragi,6.9,631.87,31.02,27.68,23.73,0,0,Urea,Borax + Zinc Sulphate,Balance Maintain
145.71,11.67,167.19,Clayey,Ragi,6.17,1043.4,24.14,25.06,4.29,0,0,Ammonium Chloride,Borax + Ferrous Sulphate,Balance Maintain
107.05,20.3,57.81,Red,Mustard,6.72,1106.31,18.48,24.49,0,7.7,66.19,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Sodium Molybdate,Balance Maintain
90.75,6.7,91.92,Laterite,Ragi,6.03,1262.19,32.94,32.69,30.25,2.3,0,DAP (Di-Ammonium Phosphate),Manganese Sulphate + Zinc Sulphate,Balance Maintain
57.04,11.11,80.96,Red,Onion,6.19,703.26,16.64,21.98,14.96,16.89,43.04,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Balance Maintain
156.95,6.89,78.92,Laterite,Groundnut,6.29,747.45,28.81,34.18,0,2.11,10.08,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Calcium Chloride,Balance Maintain
101.43,3.28,177.96,Alkaline,Sugarcane,9.39,1704.5,17.66,21.92,0,2.72,0,DAP (Di-Ammonium Phosphate),Copper Sulphate + Manganese Sulphate,Aluminium Sulphate
172.5,4.52,109.59,Arid,Onion,8.14,2041.37,17.18,39.02,0,1.48,4.41,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Ferrous Sulphate,Elemental Sulphur
184.89,13.27,130.82,Clayey,Wheat,6.66,705.07,34.84,27.49,0,0,19.18,Potassium Carbonate,Sodium Molybdate + Zinc Sulphate,Balance Maintain
174.9,8.53,140.83,Clayey,Bajra,7.22,805.31,23.37,29.71,0,1.47,9.17,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Copper Sulphate,Balance Maintain
118.35,2.77,138.25,Alkaline,Wheat,8.54,2500,19.06,27.37,0,3.23,0,Rock Phosphate,Copper Sulphate + Zinc Sulphate,Ferrous Sulphate
232.73,68.38,123.19,Clayey,Groundnut,8.43,703.31,33.42,27.76,0,0,26.81,SOP (Sulphate of Potash),Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
152.66,7.87,73.73,Laterite,Chickpea,6.13,1151.94,15.94,34.42,0,1.13,15.27,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Zinc Sulphate,Balance Maintain
139.98,14.26,215.37,Clayey,Soybean,6.13,674.03,38.84,22.18,10.02,0,0,UAN (Urea Ammonium Nitrate),Ferrous Sulphate + Zinc Sulphate,Balance Maintain
101.96,13.87,100.32,Laterite,Ragi,6.02,512.3,21.88,27.81,19.04,0,0,UAN (Urea Ammonium Nitrate),Borax + Ferrous Sulphate,Balance Maintain
240.79,60.22,211.71,Arid,Barley,8.04,283.02,19.74,26.5,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
90.79,10.86,124.72,Clayey,Mustard,5.88,1371.39,28.44,28.99,59.21,0,25.28,Urea + MOP (Muriate of Potash),Ammonium Molybdate + Zinc Sulphate,Quicklime
153.36,4.84,79.96,Arid,Garlic,8.73,755.08,16.28,31.23,0,1.16,34.04,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Manganese Sulphate,Ammonium Sulphate
137.15,13.59,74.75,Clayey,Groundnut,6.5,905.69,38.41,22.83,12.85,0,75.25,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
66.39,6.69,168.12,Black,Mustard,7.27,940.34,38.58,26.03,48.61,1.31,0,DAP (Di-Ammonium Phosphate),Manganese Sulphate + Ammonium Molybdate,Balance Maintain
65.77,28.38,85.24,Red,Onion,5.71,497.8,24.32,29.5,6.23,0,38.76,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Ammonium Molybdate,Quicklime
111.33,6.55,121.69,Black,Ragi,7.44,1414.2,30.18,32.06,3.67,1.45,25.31,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Zinc Sulphate,Balance Maintain
94.11,7.32,213.34,Black,Cotton,7,980.02,39.74,30.56,20.89,0.68,0,DAP (Di-Ammonium Phosphate),Boric Acid + Zinc Sulphate,Balance Maintain
96.7,2.1,141.25,Alkaline,Wheat,8.27,975.21,22.28,25.4,0,3.9,0,Rock Phosphate,Ferrous Sulphate + Manganese Sulphate,Aluminium Sulphate
20.06,6,64.12,Laterite,Mustard,7.07,131.75,16.36,22.81,100.94,3,24.88,Balanced NPK (14-14-14),Boric Acid + Ammonium Molybdate,Balance Maintain
102.23,2.62,101.59,Laterite,Cotton,5.27,568.32,32.52,33.58,18.77,6.38,0,DAP (Di-Ammonium Phosphate),Copper Sulphate + Manganese Sulphate,Hydrated Lime
41.51,7.34,145.15,Alluvial,Rice,6.37,549.78,20.79,28.96,68.49,0.26,6.85,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Sodium Molybdate,Balance Maintain
74.56,9.01,107.96,Black,Mustard,7.07,1251.89,21.56,33.38,40.44,0,39.04,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
135.22,6.68,158.34,Black,Cotton,6.9,902.13,35.39,33.09,0,1.32,0,MAP (Mono-Ammonium Phosphate),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
101.96,13.55,59.92,Laterite,Mustard,7.27,149.46,20.78,25.66,19.04,0,29.08,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Zinc Sulphate,Balance Maintain
120.01,8.24,37.62,Arid,Groundnut,8.2,1109.37,7.51,27.59,12.99,0,76.38,Urea + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
227.43,69.58,242.02,Alkaline,Onion,8.1,293.46,18.21,21.4,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ammonium Sulphate
44.69,7.92,109.76,Red,Soybean,6.15,792.63,29.22,20.26,27.31,20.08,14.24,Balanced NPK (14-14-14),Borax + Manganese Sulphate,Balance Maintain
58.03,5.04,140.5,Alkaline,Ragi,8.48,1793.08,21.63,25.48,31.97,0.96,0,DAP (Di-Ammonium Phosphate),Boric Acid + Manganese Sulphate,Ferrous Sulphate
86.07,7.17,154.42,Arid,Cotton,8.19,1408.86,9.71,33.44,46.93,0,0,Ammonium Nitrate,Boric Acid + Ferrous Sulphate + Zinc Sulphate,Elemental Sulphur
75.74,3.67,114.5,Alkaline,Cotton,9,1893.68,15.73,22.12,14.26,2.33,15.5,Balanced NPK (14-14-14),Ammonium Molybdate + Zinc Sulphate,Ferrous Sulphate
122.36,7.16,194.05,Clayey,Sugarcane,5.95,1334.37,27.25,29.54,27.64,2.84,0,DAP (Di-Ammonium Phosphate),Manganese Sulphate + Zinc Sulphate,Wood Ash
151.06,8.46,50.73,Laterite,Soybean,5.79,1033.29,17.2,33.26,0,0.54,38.27,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Zinc Sulphate,Wood Ash
124.99,3.34,115.75,Alkaline,Chickpea,8.44,988.15,15.8,21.29,0,2.66,14.25,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate,Ferrous Sulphate
176.61,8.19,114.48,Clayey,Sugarcane,6.5,841.79,22.46,22.31,0,1.81,35.52,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ferrous Sulphate + Sodium Molybdate,Balance Maintain
98.63,9.97,135.46,Alkaline,Garlic,8.9,990.99,12.49,34.66,0,0,0,Balanced NPK (14-14-14),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
159.53,70.39,174.54,Alkaline,Bajra,7.93,771.24,21.07,29.56,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
107.94,50.28,202.31,Alluvial,Chickpea,8.48,336.19,30.65,30.87,2.06,0,0,Ammonium Chloride,Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
115.21,2,111.4,Alluvial,Maize,6.47,928.71,26.31,22.92,0,5.6,40.6,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Copper Sulphate,Balance Maintain
119.94,10.72,177.56,Black,Groundnut,7.23,684.02,36.97,25.09,0,0,0,Balanced NPK (14-14-14),Calcium Chloride + Manganese Sulphate,Balance Maintain
47.04,11.84,184.4,Alluvial,Rice,6.67,891.11,24.72,18.72,62.96,0,0,Ammonium Nitrate,Manganese Sulphate + Zinc Sulphate,Balance Maintain
225.11,6.23,222.67,Clayey,Jowar,6.37,1257.87,23.73,28.49,0,3.77,0,Rock Phosphate,Manganese Sulphate + Zinc Sulphate,Balance Maintain
69.93,3.91,94.83,Laterite,Cotton,6.4,671.87,24.65,23.24,51.07,5.09,0,DAP (Di-Ammonium Phosphate),Boric Acid + Manganese Sulphate,Balance Maintain
91.51,14.44,82.71,Red,Moong,7.42,216.29,28.47,26.4,0,13.56,41.29,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Zinc Sulphate,Balance Maintain
84.2,12.05,61.34,Laterite,Soybean,5.94,1103.22,31.78,28.26,36.8,0,27.66,Urea + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Agricultural Lime
57.94,7.14,101.9,Alkaline,Moong,9.11,2035.78,21.55,35.61,32.06,0,28.1,Urea + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate,Ammonium Sulphate
54.16,10.43,46.84,Laterite,Moong,6.43,364.09,17.39,24.92,66.84,0,42.16,Urea + MOP (Muriate of Potash),Ammonium Molybdate + Zinc Sulphate,Balance Maintain
134.76,13.43,73.06,Laterite,Maize,5.04,788.7,32.39,21.32,0,0,15.94,Potassium-Magnesium Sulphate,Ferrous Sulphate + Sodium Molybdate,Quicklime
235.61,47.27,194.68,Alkaline,Ragi,8.38,299.3,20.6,28.57,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
91.73,14.92,143.36,Red,Garlic,6.45,393.29,27.87,28.67,0,13.08,0,TSP (Triple Super Phosphate),Copper Sulphate + Ferrous Sulphate,Balance Maintain
252.5,68.77,304.64,Arid,Wheat,8.04,516.55,8.88,22.95,0,0,0,Balanced NPK (14-14-14),Borax + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
119.41,52.11,217.14,Clayey,Garlic,8.33,538.65,32.01,20.33,30.59,0,0,Urea,Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
103.49,11.24,126.86,Red,Moong,6.25,555.89,25,27.97,0,16.76,0,TSP (Triple Super Phosphate),Manganese Sulphate + Sodium Molybdate,Balance Maintain
100.25,5.4,227.56,Alkaline,Maize,7.68,1881.67,17.79,23.16,0,0.6,0,MAP (Mono-Ammonium Phosphate),Boric Acid + Ferrous Sulphate,Gypsum
38.58,3.1,83.62,Black,Onion,7.01,280.41,28.75,23.87,76.42,4.9,63.38,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Manganese Sulphate,Balance Maintain
36.66,7.8,49.46,Alkaline,Chickpea,8.51,640.32,23.81,20.19,53.34,0,80.54,Urea + MOP (Muriate of Potash),Borax + Ferrous Sulphate,Elemental Sulphur
109.37,14.92,98.63,Laterite,Ragi,5.65,891.58,34.45,27.77,11.63,0,0,Ammonium Nitrate,Copper Sulphate + Ferrous Sulphate,Hydrated Lime
88.49,12.37,28.3,Clayey,Onion,6.25,768.17,23.9,25.07,61.51,0,121.7,Urea + MOP (Muriate of Potash),Borax + Ferrous Sulphate,Balance Maintain
178.5,6.06,158.94,Clayey,Groundnut,6.47,743.64,36.88,21.67,0,3.94,0,DAP (Di-Ammonium Phosphate),Calcium Chloride + Ferrous Sulphate,Balance Maintain
92.92,7.33,250.95,Alluvial,Groundnut,5.93,355.56,23.36,19.49,17.08,0.27,0,DAP (Di-Ammonium Phosphate),Manganese Sulphate + Sodium Molybdate,Agricultural Lime
142.03,5.5,135.54,Black,Groundnut,7.64,1116.57,25.7,28.83,0,2.5,11.46,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Sodium Molybdate + Zinc Sulphate,Elemental Sulphur
68.2,11.85,68.19,Clayey,Cotton,6.14,161.31,38.49,18.79,81.8,0,81.81,Urea + MOP (Muriate of Potash),Borax + Sodium Molybdate,Balance Maintain
90.87,27.66,158.48,Red,Groundnut,7.08,692,27.78,26.95,0,0.34,0,SSP (Single Super Phosphate),Calcium Chloride + Manganese Sulphate,Balance Maintain
115.93,40.64,312.01,Clayey,Cotton,8.11,426.19,32.06,19.12,34.07,0,0,Urea,Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
83.92,7.1,120.66,Arid,Bajra,7.59,1592.86,13.73,35.79,49.08,0,0,Ammonium Chloride,Boric Acid + Ferrous Sulphate + Zinc Sulphate,Gypsum
155.92,8.15,109.02,Laterite,Jowar,6.11,643.25,21.19,23.03,0,0.85,0,SSP (Single Super Phosphate),Ferrous Sulphate + Zinc Sulphate,Balance Maintain
96.04,10.79,70.1,Clayey,Chickpea,7.27,114.42,35.13,24.64,53.96,0,79.9,Urea + MOP (Muriate of Potash),Borax + Manganese Sulphate,Balance Maintain
164.33,12.25,90.42,Clayey,Maize,6.46,833.61,29.37,20.07,0,0,59.58,Potassium Carbonate,Copper Sulphate + Ammonium Molybdate,Balance Maintain
65.74,23.95,108.85,Red,Soybean,6.79,801.8,15.52,25.13,6.26,4.05,15.15,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Zinc Sulphate,Balance Maintain
116.71,8.25,149.88,Black,Jowar,7.03,668.01,38.26,25.43,0,0,0,Balanced NPK (14-14-14),Boric Acid + Copper Sulphate,Balance Maintain
104.07,8.09,159.62,Alluvial,Barley,6.67,934.08,22.68,22.65,5.93,0,0,Ammonium Chloride,Manganese Sulphate + Zinc Sulphate,Balance Maintain
108.99,11.26,180.97,Black,Cotton,7.26,1119.02,21.28,25.42,6.01,0,0,Urea,Boric Acid + Copper Sulphate,Balance Maintain
63.53,3.39,177.27,Alkaline,Garlic,8.3,2237.98,12.71,35.16,26.47,2.61,0,DAP (Di-Ammonium Phosphate),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Elemental Sulphur
