Temperature,Humidity,Moisture,Soil_Type,Crop,Nitrogen,Phosphorus,Potassium,pH,EC(mmhos/cm2),N_Status,P_Status,K_Status,Primary_Fertilizer,Secondary_Fertilizer,pH_Amendment
30.6,71,78,Alkaline soil,ragi,27,97,16,9.15,3.17,Low,High,Low,Ammonium Chloride,Magnesium Sulphate + Zinc Sulphate mixture,Gypsum + Sulphur
34,93,76,Alkaline soil,soyabean,6,84,79,6.971534247,0.97,Low,High,High,Muriate of Potash (MOP),Magnesium Sulphate + Zinc Sulphate mixture,None
14,43,59,Clayey,cotton,117,8,30,6.53,2.27,High,Low,Low,Ammonium Sulphate,Magnesium Sulphate + Zinc Sulphate mixture,Organic matter composts
39.2,35,56,Laterite,onion,120,71,36,6.971534247,0.91,High,High,Optimal,Urea,Gypsum + Borax mixture,Lime
28.3,47,40,Red,groundnut,79,18,56,9.25,4.05,High,Low,Optimal,Split N doses,Borax + Elemental Sulphur mixture,Gypsum + Sulphur
25.3,95,28,Black,moong,95,92,37,6.971534247,0.94,High,High,Low,Monoammonium Phosphate (MAP),Ferrous Sulphate + Manganese Sulphate mixture,Gypsum + Organic matter
24.2,45,25,Alluvial,mustard,61,84,31,6.971534247,1.32,Optimal,High,Low,Calcium Ammonium Nitrate,Magnesium Sulphate,Compost (Coffee prefers slightly acidic)
25.2,35,70,Red,wheat,79,18,59,9.45,3.42,Optimal,Low,Optimal,Muriate of Potash (MOP),Zinc Sulphate + Borax mixture,Sulphur
26.9,49,36,Red,groundnut,12,42,16,6.971534247,0.92,Low,Optimal,Low,Single Super Phosphate (SSP),Borax + Elemental Sulphur mixture,None
32,95,37,Red,mustard,69,51,72,6.971534247,1.37,Optimal,Optimal,Optimal,Sulphate of Potash (SOP),Zinc Sulphate + Borax mixture,None
23,40,44,Laterite,moong,73,71,94,6.971534247,1.13,Optimal,High,High,Ammonium Chloride,Ammonium Molybdate + Zinc Sulphate mixture,None
25.6,69,37,Clayey,rice,68,59,32,9.09,4.22,Optimal,High,Low,Single Super Phosphate (SSP),Gypsum + Borax mixture,Organic matter composts
16.2,30,43,Alluvial,sugarcane,108,69,113,6.971534247,1.03,High,High,High,Triple Super Phosphate (TSP),Manganese Sulphate,Compost (Coffee prefers slightly acidic)
15.7,59,57,Laterite,soyabean,109,92,50,6.971534247,1.04,High,High,Optimal,Ammonium Nitrate,Borax + Zinc Sulphate mixture,Wood ash + Biochar
35.2,58,68,Alluvial,barley,110,30,18,6.971534247,0.69,High,Optimal,Low,Avoid Potash,Borax + Ammonium Molybdate mixture,Lime
30.8,90,71,Alluvial,wheat,54,71,20,6.971534247,1.08,Optimal,High,Low,Urea Ammonium Nitrate (UAN),Zinc Sulphate + Manganese Sulphate mixture,None
25.8,81,68,Alluvial,jowar,61,24,24,6.971534247,1.1,Optimal,Low,Low,Balanced NPK (maintenance),Rhizobium Biofertilizer + Zinc Sulphate mixture,Lime
33.7,55,63,Alkaline soil,mustard,49,11,72,6.971534247,0.95,Optimal,Low,Optimal,Stop K,Gypsum + Borax mixture,None
16.1,36,87,Black,sugarcane,108,69,115,6.971534247,0.95,High,High,High,Reduce N,Magnesium Sulphate + Zinc Sulphate mixture,Sulphur (Tea prefers acidic)
26.5,89,47,Arid,moong,74,85,123,9.36,2.32,Optimal,High,High,Ammonium Chloride,Magnesium Sulphate + Zinc Sulphate mixture,Gypsum
19.2,31,86,Alluvial,onion,58,8,65,6.971534247,0.61,Optimal,Low,Optimal,Urea,Ferrous Sulphate + Zinc Sulphate mixture,Sulphur (Tea prefers acidic)
26,93,43,Black,garlic,126,24,44,6.971534247,0.86,High,Low,Optimal,Monoammonium Phosphate (MAP),Magnesium Sulphate,Wood ash + Biochar
21.8,49,73,Alkaline soil,mustard,76,24,33,6.971534247,1.5,Optimal,Low,Low,Ammonium Sulphate,Zinc Sulphate + Manganese Sulphate mixture,None
32,89,81,Alkaline soil,ragi,103,71,33,6.971534247,1.02,High,High,Low,Rock Phosphate,Rhizobium Biofertilizer + Zinc Sulphate mixture,Wood ash + Biochar
33.5,68,95,Laterite,ragi,38,29,112,6.971534247,1.18,Optimal,Low,High,Urea Ammonium Nitrate (UAN),Zinc Sulphate,Gypsum + Sulphur
27.7,53,65,Alluvial,jowar,12,41,27,6.971534247,0.6,Low,Optimal,Low,Urea Ammonium Nitrate (UAN),Ferrous Sulphate + Zinc Sulphate mixture,None
19.1,64,72,Arid,moong,33,55,37,6.971534247,0.54,Low,Optimal,Optimal,Triple Super Phosphate (TSP),Borax + Elemental Sulphur mixture,Gypsum
27.4,62,39,Red,mustard,21,66,10,6.971534247,1,Low,High,Low,Urea Ammonium Nitrate (UAN),Ferrous Sulphate,Wood ash + Biochar
17,34,37,Black,wheat,13,97,85,6.971534247,1.03,Low,High,High,Urea Ammonium Nitrate (UAN),Magnesium Sulphate,Sulphur (Tea prefers acidic)
25.7,90,22,Red,garlic,25,70,95,6.971534247,1.27,Low,High,High,Rock Phosphate,Ferrous Sulphate + Zinc Sulphate mixture,None
22.8,52,50,Alkaline soil,soyabean,39,36,110,6.971534247,1.37,Optimal,Optimal,High,Sulphate of Potash (SOP),Zinc Sulphate,None
17.5,39,51,Laterite,rice,65,34,72,6.971534247,1.33,Optimal,Optimal,Optimal,Urea,Ammonium Molybdate + Zinc Sulphate mixture,Lime
33.3,46,29,Red,wheat,54,14,62,6.971534247,1.1,Optimal,Low,Optimal,Rock Phosphate,Rhizobium Biofertilizer + Zinc Sulphate mixture,Wood ash + Biochar
26.9,66,59,Arid,barley,25,28,95,6.971534247,0.97,Low,Low,High,Muriate of Potash (MOP),Magnesium Sulphate + Zinc Sulphate mixture,None
26.4,87,26,Red,onion,14,10,57,6.971534247,1.39,Low,Low,Optimal,Calcium Ammonium Nitrate (CAN),Rhizobium Biofertilizer + Zinc Sulphate mixture,None
31.9,42,77,Red,moong,20,4,105,6.971534247,1.21,Low,Low,High,Ammonium Sulphate,Manganese Sulphate,None
21.8,36,21,Red,maize,64,44,33,6.971534247,0.87,Optimal,Optimal,Low,Diammonium Phosphate (DAP),Rhizobium Biofertilizer + Zinc Sulphate mixture,None
22,50,48,Arid,onion,108,74,12,6.53,1.53,High,High,Low,Ammonium Nitrate,Magnesium Sulphate + Zinc Sulphate mixture,Organic matter composts
25.6,41,32,Arid,jowar,53,95,12,6.971534247,0.92,Optimal,High,Low,Urea Ammonium Nitrate (UAN),Ferrous Sulphate + Manganese Sulphate mixture,None
24.8,83,59,Laterite,chickpea,24,92,55,6.971534247,0.75,Low,High,Optimal,Avoid N,Ammonium Molybdate + Zinc Sulphate mixture,Lime
31.9,49,64,Black,onion,31,73,97,6.971534247,0.97,Low,High,High,Stop K,Borax + Zinc Sulphate mixture,None
28.6,69,84,Alluvial,moong,25,86,105,6.971534247,0.57,Low,High,High,Rock Phosphate,Borax + Ammonium Molybdate mixture,None
39.3,32,28,Red,ragi,83,90,103,6.971534247,0.89,High,High,High,Ammonium Nitrate,Ammonium Molybdate + Zinc Sulphate mixture,None
23.6,57,72,Alkaline soil,maize,37,43,36,6.971534247,0.8,Optimal,Optimal,Optimal,Urea,Ferrous Sulphate + Manganese Sulphate mixture,Sulphur (Tea prefers acidic)
34.5,65,21,Arid,onion,105,44,75,6.971534247,0.51,High,Optimal,Optimal,Avoid Potash,Magnesium Sulphate,None
37.6,41,53,Arid,bajra,117,52,96,6.971534247,1.4,High,Optimal,High,Split N doses,Ferrous Sulphate + Manganese Sulphate mixture,None
24.8,60,50,Arid,barley,7,48,22,6.971534247,1.03,Low,Optimal,Low,Avoid Phosphate application,Magnesium Sulphate + Zinc Sulphate mixture,Gypsum + Organic matter
25.5,35,30,Red,chickpea,14,89,43,6.46,1.86,Low,High,Optimal,Balanced NPK (maintenance),Ferrous Sulphate,Lime
22.6,61,43,Black,barley,113,75,108,6.971534247,1.12,High,High,High,Split N doses,Ferrous Sulphate + Zinc Sulphate mixture,Compost (Coffee prefers slightly acidic)
26.3,51,57,Clayey,soyabean,63,73,20,6.971534247,1.23,Optimal,High,Low,Muriate of Potash (MOP),Magnesium Sulphate,None
19.3,47,60,Red,garlic,99,92,123,6.971534247,0.54,High,High,High,Urea Ammonium Nitrate (UAN),Manganese Sulphate,None
11.7,83,80,Laterite,moong,46,44,104,6.971534247,0.52,Optimal,Optimal,High,Triple Super Phosphate (TSP),Ferrous Sulphate + Manganese Sulphate mixture,Gypsum + Organic matter
26.2,61,29,Red,wheat,56,69,36,8.23,1.25,Optimal,High,Low,Stop P,Manganese Sulphate,Gypsum + Sulphur
35.3,93,67,Laterite,ragi,54,66,19,9.03,4.29,Optimal,High,Low,Stop K,Manganese Sulphate,None
23.3,47,80,Laterite,cotton,95,27,20,6.971534247,1.37,High,Low,Low,Triple Super Phosphate (TSP),Borax + Zinc Sulphate mixture,None
27,71,54,Clayey,groundnut,24,50,55,6.971534247,1.23,Low,Optimal,Optimal,Calcium Ammonium Nitrate,Borax + Zinc Sulphate mixture,Organic matter composts
21.3,49,60,Black,rice,81,92,104,6.971534247,0.99,High,High,High,Triple Super Phosphate (TSP),Borax + Elemental Sulphur mixture,None
24.4,77,81,Black,barley,71,26,52,6.971534247,0.78,Optimal,Low,Optimal,Balanced NPK (maintenance),Gypsum + Borax mixture,None
24.4,84,77,Arid,barley,83,97,12,6.971534247,0.74,Optimal,High,Low,Stop K,Borax + Zinc Sulphate mixture,None
32.5,46,74,Alluvial,sugarcane,64,47,120,6.971534247,1.47,Optimal,Optimal,High,Split N doses,Manganese Sulphate,None
21.5,51,66,Red,barley,57,66,80,9.22,3.78,Optimal,High,High,Urea,Gypsum + Borax mixture,Gypsum + Sulphur
19.2,84,21,Laterite,moong,59,100,112,6.971534247,0.9,Optimal,High,High,Monoammonium Phosphate (MAP),Borax + Ammonium Molybdate mixture,None
25.9,37,57,Black,maize,19,41,69,6.971534247,1.43,Low,Optimal,Optimal,Sulphate of Potash (SOP),Magnesium Sulphate,None
29.8,91,29,Red,cotton,88,58,21,6.971534247,1.26,High,Optimal,Low,Urea Ammonium Nitrate (UAN),Ammonium Molybdate + Zinc Sulphate mixture,Sulphur
24.3,75,84,Red,maize,72,57,72,6.971534247,0.65,High,Optimal,Optimal,Avoid N,Ferrous Sulphate + Zinc Sulphate mixture,None
23.8,93,34,Alluvial,groundnut,18,20,56,6.971534247,0.85,Low,Low,Optimal,Calcium Ammonium Nitrate,Gypsum + Borax mixture,None
33.3,46,29,Red,wheat,54,14,62,6.971534247,1.1,Optimal,Low,Optimal,Rock Phosphate,Rhizobium Biofertilizer + Zinc Sulphate mixture,Wood ash + Biochar
22,52,63,Arid,garlic,26,73,51,6.971534247,1.21,Low,High,Optimal,Avoid Phosphate application,Magnesium Sulphate,None
18.5,62,61,Red,jowar,72,44,55,6.971534247,1.4,Optimal,Optimal,Optimal,Balanced NPK (maintenance),Ferrous Sulphate + Zinc Sulphate mixture,Lime
24.4,67,45,Black,moong,23,86,54,6.971534247,1.17,Low,High,Optimal,Diammonium Phosphate (DAP),Manganese Sulphate,Gypsum
32,93,26,Alluvial,cotton,77,7,67,6.971534247,1.46,Optimal,Low,Optimal,Balanced NPK (maintenance),Borax + Ammonium Molybdate mixture,None
30.3,73,60,Black,groundnut,7,19,42,6.971534247,0.85,Low,Low,Optimal,Muriate of Potash (MOP),Ferrous Sulphate + Zinc Sulphate mixture,None
28.5,65,78,Laterite,sugarcane,34,4,91,6.971534247,0.6,Low,Low,High,Urea,Magnesium Sulphate,None
26.3,58,62,Clayey,groundnut,88,84,79,6.971534247,0.55,High,High,Optimal,Sulphate of Potash (SOP),Ferrous Sulphate,Sulphur (Tea prefers acidic)
34.5,64,33,Alluvial,soyabean,64,86,102,6.971534247,0.64,Optimal,High,High,Ammonium Sulphate,Zinc Sulphate + Borax mixture,Gypsum + Sulphur
23.5,58,65,Clayey,maize,71,64,72,6.971534247,0.51,Optimal,High,Optimal,Calcium Ammonium Nitrate,Manganese Sulphate,Lime
17.1,89,83,Clayey,garlic,91,65,18,6.971534247,0.86,High,High,Low,Balanced NPK (maintenance),Manganese Sulphate,Gypsum
33.8,42,16,Alluvial,garlic,80,13,26,6.971534247,0.59,Optimal,Low,Low,Avoid Phosphate application,Magnesium Sulphate,None
29,36,34,Laterite,sugarcane,124,17,108,6.971534247,0.81,High,Low,High,Stop K,Zinc Sulphate + Manganese Sulphate mixture,None
24.6,54,61,Alluvial,ragi,57,33,70,6.971534247,1.41,Optimal,Optimal,Optimal,Calcium Ammonium Nitrate (CAN),Gypsum + Borax mixture,None
32.3,63,32,Red,sugarcane,112,85,30,9.08,2.99,High,High,Low,Ammonium Sulphate,Borax + Zinc Sulphate mixture,Organic matter composts
19.2,77,38,Alluvial,sugarcane,67,77,36,6.971534247,1.31,Optimal,High,Low,Diammonium Phosphate (DAP),Manganese Sulphate,None
17.3,43,29,Alluvial,maize,96,63,91,6.971534247,1.48,High,High,High,Muriate of Potash (MOP),Zinc Sulphate + Manganese Sulphate mixture,Sulphur (Tea prefers acidic)
19.1,64,72,Arid,moong,33,55,37,6.971534247,0.54,Low,Optimal,Optimal,Triple Super Phosphate (TSP),Borax + Elemental Sulphur mixture,Gypsum
34.7,83,29,Clayey,garlic,95,40,53,6.971534247,1.39,High,Optimal,Optimal,Split N doses,Magnesium Sulphate,None
14.1,82,70,Alluvial,ragi,53,11,105,6.971534247,1.21,Optimal,Low,High,Ammonium Chloride,Ferrous Sulphate,Gypsum + Organic matter
26.2,50,75,Laterite,chickpea,58,23,87,6.971534247,0.82,Optimal,Low,High,Stop K,Ferrous Sulphate,None
26.7,90,46,Red,maize,63,52,93,6.971534247,1.34,Optimal,Optimal,High,Rock Phosphate,Zinc Sulphate + Borax mixture,None
35.5,32,66,Black,rice,61,52,43,6.971534247,1.48,Optimal,Optimal,Optimal,Ammonium Chloride,Ferrous Sulphate,None
24.1,75,83,Black,barley,75,69,36,7.28,2.17,Optimal,High,Optimal,Ammonium Nitrate,Rhizobium Biofertilizer + Zinc Sulphate mixture,Sulphur
30.4,69,33,Arid,cotton,74,68,68,6.971534247,1.14,Optimal,High,Optimal,Stop K,Borax + Elemental Sulphur mixture,None
35.9,33,19,Red,bajra,113,39,115,6.971534247,0.66,High,Optimal,High,Calcium Ammonium Nitrate,Ferrous Sulphate,None
28.8,92,25,Clayey,wheat,34,77,106,6.67,2.31,Low,High,High,Calcium Ammonium Nitrate,Zinc Sulphate + Borax mixture,Gypsum
22.9,52,50,Arid,mustard,115,22,16,6.971534247,0.92,High,Low,Low,Ammonium Sulphate,Borax + Elemental Sulphur mixture,Compost (Coffee prefers slightly acidic)
23.3,73,69,Clayey,groundnut,51,54,33,6.971534247,0.57,Optimal,Optimal,Low,Stop K,Borax + Elemental Sulphur mixture,Lime
38.3,94,78,Clayey,soyabean,12,41,9,6.971534247,0.8,Low,Optimal,Low,Sulphate of Potash (SOP),Borax + Ammonium Molybdate mixture,Gypsum + Sulphur
25.6,93,26,Alkaline soil,sugarcane,119,54,115,6.08,2.46,High,Optimal,High,Rock Phosphate,Magnesium Sulphate,Gypsum + Sulphur
36.1,87,38,Laterite,moong,112,80,73,6.971534247,0.56,High,High,Optimal,Avoid Phosphate application,Zinc Sulphate,Gypsum + Organic matter
34.7,95,39,Red,groundnut,33,60,24,6.971534247,0.73,Optimal,Optimal,Low,Split N doses,Ferrous Sulphate + Zinc Sulphate mixture,None
18.9,40,60,Red,soyabean,98,96,65,6.971534247,1.28,High,High,Optimal,Ammonium Chloride,Zinc Sulphate + Borax mixture,None
21,33,38,Arid,jowar,101,21,12,6.971534247,0.82,High,Low,Low,Stop K,Borax + Zinc Sulphate mixture,None
27.6,65,50,Clayey,wheat,84,58,79,8.06,2.15,High,High,Optimal,Reduce N,Borax + Elemental Sulphur mixture,Organic matter composts
23,95,41,Red,onion,66,64,84,6.971534247,1.34,Optimal,High,High,Rock Phosphate,Magnesium Sulphate,None
32.8,54,50,Black,groundnut,53,25,63,6.971534247,1.12,Optimal,Low,Optimal,Avoid Phosphate application,Borax + Zinc Sulphate mixture,Wood ash + Biochar
26.3,81,56,Arid,bajra,61,50,20,6.971534247,1.18,Optimal,Optimal,Low,Reduce N,Magnesium Sulphate + Zinc Sulphate mixture,None
33.8,59,55,Clayey,maize,8,21,28,6.971534247,0.69,Low,Low,Low,Urea Ammonium Nitrate (UAN),Zinc Sulphate + Borax mixture,None
25,95,71,Black,sugarcane,108,95,100,6.971534247,0.78,High,High,High,Ammonium Chloride,Zinc Sulphate + Borax mixture,None
28,74,52,Arid,rice,109,40,104,6.971534247,1.4,High,Optimal,High,Triple Super Phosphate (TSP),Magnesium Sulphate + Zinc Sulphate mixture,None
22.9,82,61,Alkaline soil,mustard,34,24,23,6.971534247,0.54,Low,Low,Low,Avoid Phosphate application,Ammonium Molybdate + Zinc Sulphate mixture,None
31.8,86,63,Clayey,rice,59,7,113,6.971534247,0.9,Optimal,Low,High,Rock Phosphate,Ferrous Sulphate + Zinc Sulphate mixture,None
24.1,51,33,Alkaline soil,rice,89,43,47,6.971534247,0.58,High,Optimal,Optimal,Calcium Ammonium Nitrate (CAN),Zinc Sulphate,None
27.3,46,37,Laterite,onion,123,93,116,6.971534247,0.91,High,High,High,Single Super Phosphate (SSP),Magnesium Sulphate + Zinc Sulphate mixture,Lime
14.5,68,56,Red,chickpea,43,66,88,6.971534247,1.16,Low,High,High,Stop P,Zinc Sulphate,Gypsum + Sulphur
24.7,83,22,Black,rice,22,56,52,9.32,3.07,Low,Optimal,Optimal,Diammonium Phosphate (DAP),Ferrous Sulphate + Zinc Sulphate mixture,Organic matter composts
19.1,90,41,Alkaline soil,jowar,80,41,36,6.971534247,0.55,High,Optimal,Optimal,Reduce N,Magnesium Sulphate,Wood ash + Biochar
12.4,86,74,Arid,barley,36,97,67,6.971534247,1.02,Optimal,High,Optimal,Avoid Phosphate application,Gypsum + Borax mixture,None
32.6,35,48,Arid,garlic,39,87,92,6.971534247,0.81,Low,High,High,Stop P,Borax + Ammonium Molybdate mixture,Gypsum + Sulphur
30.2,72,78,Clayey,mustard,31,69,95,6.971534247,0.88,Low,High,High,Reduce N,Borax + Elemental Sulphur mixture,Sulphur
30.2,81,58,Red,barley,68,48,60,6.971534247,1.35,Optimal,Optimal,Optimal,Ammonium Nitrate,Rhizobium Biofertilizer + Zinc Sulphate mixture,None
13.6,36,33,Alkaline soil,wheat,60,26,99,6.971534247,1.18,Optimal,Low,High,Triple Super Phosphate (TSP),Magnesium Sulphate + Zinc Sulphate mixture,Sulphur (Tea prefers acidic)
30.9,30,40,Red,maize,63,44,60,6.971534247,0.51,Optimal,Optimal,Optimal,Avoid N,Manganese Sulphate,Sulphur
30.5,75,49,Red,mustard,94,32,35,7.99,2.49,High,Optimal,Low,Calcium Ammonium Nitrate (CAN),Ammonium Molybdate + Zinc Sulphate mixture,Gypsum
16.5,61,70,Clayey,soyabean,48,99,87,6.971534247,1.12,Optimal,High,High,Single Super Phosphate (SSP),Zinc Sulphate + Manganese Sulphate mixture,Compost (Coffee prefers slightly acidic)
38,46,78,Arid,mustard,31,37,49,6.971534247,0.54,Low,Optimal,Optimal,Single Super Phosphate (SSP),Magnesium Sulphate,None
28.7,79,21,Black,wheat,32,5,26,8.43,1.82,Low,Low,Low,Reduce N,Ferrous Sulphate,Gypsum + Sulphur
25.2,61,80,Alkaline soil,cotton,125,22,101,6.971534247,1.19,High,Low,High,Stop P,Borax + Zinc Sulphate mixture,Gypsum + Organic matter
29.3,90,43,Alkaline soil,barley,54,18,78,6.971534247,1.02,Optimal,Low,Optimal,Urea,Zinc Sulphate,None
27.8,85,69,Laterite,soyabean,43,22,40,6.971534247,0.53,Optimal,Low,Low,Avoid Potash,Borax + Zinc Sulphate mixture,None
35.3,93,67,Laterite,ragi,54,66,19,9.03,4.29,Optimal,High,Low,Stop K,Manganese Sulphate,None
22.7,80,41,Arid,garlic,48,33,57,6.971534247,0.67,Optimal,Optimal,Optimal,Single Super Phosphate (SSP),Magnesium Sulphate,Gypsum + Sulphur
17.3,43,29,Alluvial,maize,96,63,91,6.971534247,1.48,High,High,High,Muriate of Potash (MOP),Zinc Sulphate + Manganese Sulphate mixture,Sulphur (Tea prefers acidic)
29.6,62,65,Alkaline soil,garlic,22,51,52,8.07,1.17,Low,Optimal,Optimal,Stop K,Zinc Sulphate,Organic matter composts
29.7,50,68,Alluvial,cotton,59,63,82,6.971534247,0.57,Optimal,High,High,Stop P,Rhizobium Biofertilizer + Zinc Sulphate mixture,Gypsum
18.3,89,45,Clayey,wheat,73,65,28,6.971534247,0.75,High,High,Low,Avoid Potash,Manganese Sulphate,Sulphur (Tea prefers acidic)
32.4,50,45,Laterite,soyabean,81,47,56,9.42,3.14,High,Optimal,Optimal,Rock Phosphate,Borax + Zinc Sulphate mixture,Gypsum
22.7,87,65,Black,wheat,46,27,20,6.971534247,1.04,Optimal,Low,Low,Triple Super Phosphate (TSP),Manganese Sulphate,Compost (Coffee prefers slightly acidic)
26.2,35,20,Arid,rice,106,61,63,9.29,2.89,High,High,Optimal,Avoid Phosphate application,Ferrous Sulphate,Sulphur
27.6,31,90,Alluvial,wheat,71,80,122,6.971534247,1.48,Optimal,High,High,Diammonium Phosphate (DAP),Gypsum + Borax mixture,None
29.2,63,75,Red,ragi,87,85,71,6.971534247,1.23,High,High,Optimal,Urea Ammonium Nitrate (UAN),Magnesium Sulphate,None
17.4,83,78,Alkaline soil,sugarcane,107,96,15,6.971534247,1.25,High,High,Low,Muriate of Potash (MOP),Borax + Zinc Sulphate mixture,Sulphur (Tea prefers acidic)
32.6,35,48,Arid,garlic,39,87,92,6.971534247,0.81,Low,High,High,Stop P,Borax + Ammonium Molybdate mixture,Gypsum + Sulphur
24,51,51,Clayey,wheat,92,18,43,6.971534247,0.55,High,Low,Low,Monoammonium Phosphate (MAP),Ferrous Sulphate + Zinc Sulphate mixture,Lime
24.4,84,35,Clayey,mustard,91,53,32,6.971534247,1.43,High,Optimal,Low,Monoammonium Phosphate (MAP),Ferrous Sulphate + Manganese Sulphate mixture,None
23.1,65,65,Laterite,sugarcane,23,73,90,6.971534247,0.68,Low,High,High,Muriate of Potash (MOP),Borax + Ammonium Molybdate mixture,None
21.1,85,31,Clayey,mustard,17,49,37,6.971534247,1.49,Low,Optimal,Low,Ammonium Nitrate,Zinc Sulphate,Gypsum
30.1,50,44,Alluvial,bajra,46,46,54,6.971534247,1.46,Optimal,Optimal,Optimal,Split N doses,Ferrous Sulphate + Zinc Sulphate mixture,Lime
34.1,79,78,Red,groundnut,91,18,82,6.971534247,1.08,High,Low,High,Diammonium Phosphate (DAP),Borax + Elemental Sulphur mixture,Organic matter composts
32.9,45,63,Red,maize,100,56,113,6.971534247,1.33,High,Optimal,High,Ammonium Chloride,Borax + Ammonium Molybdate mixture,None
38.5,51,99,Laterite,ragi,32,17,94,6.971534247,0.77,Low,Low,High,Urea Ammonium Nitrate (UAN),Borax + Zinc Sulphate mixture,Wood ash + Biochar
28.9,65,70,Arid,garlic,61,55,51,6.971534247,1.38,Optimal,Optimal,Optimal,Urea,Ferrous Sulphate,Sulphur
29.2,50,34,Red,rice,58,33,84,6.971534247,1.39,Optimal,Optimal,High,Avoid Phosphate application,Borax + Elemental Sulphur mixture,None
37.9,86,57,Alkaline soil,groundnut,23,89,46,6.971534247,0.76,Low,High,Optimal,Ammonium Sulphate,Borax + Elemental Sulphur mixture,Organic matter composts
16,84,56,Alluvial,chickpea,48,32,43,6.971534247,0.87,Low,Optimal,Low,Ammonium Nitrate,Magnesium Sulphate,Gypsum
13,40,43,Arid,onion,14,101,104,6.971534247,0.7,Low,High,High,Balanced NPK (maintenance),Rhizobium Biofertilizer + Zinc Sulphate mixture,Lime
17.9,55,23,Red,bajra,38,90,113,6.971534247,0.74,Low,High,High,Reduce N,Gypsum + Borax mixture,Sulphur (Tea prefers acidic)
37.9,71,48,Clayey,cotton,115,88,106,6.971534247,1.34,High,High,High,Triple Super Phosphate (TSP),Ferrous Sulphate + Manganese Sulphate mixture,Gypsum + Organic matter
21.9,64,26,Alluvial,onion,62,5,89,6.971534247,0.86,Optimal,Low,High,Avoid N,Ammonium Molybdate + Zinc Sulphate mixture,None
23.8,47,38,Clayey,chickpea,6,46,40,6.971534247,1.33,Low,Optimal,Low,Monoammonium Phosphate (MAP),Manganese Sulphate,Sulphur
26.9,83,22,Alluvial,groundnut,23,46,121,9.47,3.25,Low,Optimal,High,Muriate of Potash (MOP),Magnesium Sulphate,Gypsum + Sulphur
11.4,72,50,Laterite,soyabean,13,12,48,6.971534247,0.61,Low,Low,Optimal,Balanced NPK (maintenance),Magnesium Sulphate,None
26.2,30,23,Arid,wheat,61,78,69,6.971534247,1.07,Optimal,High,Optimal,Ammonium Sulphate,Rhizobium Biofertilizer + Zinc Sulphate mixture,Sulphur
21.7,38,76,Alkaline soil,barley,48,29,102,6.971534247,1.23,Optimal,Optimal,High,Ammonium Chloride,Gypsum + Borax mixture,None
20.7,48,81,Arid,garlic,81,96,77,9.35,3.68,High,High,Optimal,Ammonium Chloride,Gypsum + Borax mixture,Gypsum
27.8,91,70,Alkaline soil,chickpea,73,22,37,7.58,1.33,High,Low,Low,Reduce N,Zinc Sulphate,Sulphur
26.5,93,53,Laterite,sugarcane,14,91,59,6.971534247,1.15,Low,High,Optimal,Monoammonium Phosphate (MAP),Ferrous Sulphate + Manganese Sulphate mixture,None
20.2,48,74,Red,onion,6,99,54,6.971534247,0.75,Low,High,Optimal,Sulphate of Potash (SOP),Ammonium Molybdate + Zinc Sulphate mixture,Sulphur (Tea prefers acidic)
22.8,52,50,Alkaline soil,soyabean,39,36,110,6.971534247,1.37,Optimal,Optimal,High,Sulphate of Potash (SOP),Zinc Sulphate,None
22.3,35,33,Red,rice,44,18,78,6.971534247,1.47,Optimal,Low,Optimal,Avoid Potash,Borax + Elemental Sulphur mixture,Sulphur
15.8,55,52,Red,groundnut,121,98,97,6.971534247,1.01,High,High,High,Reduce N,Zinc Sulphate,Compost (Coffee prefers slightly acidic)
34.4,64,26,Arid,onion,124,88,59,6.971534247,1.13,High,High,Optimal,Avoid Potash,Ammonium Molybdate + Zinc Sulphate mixture,None
19.6,48,89,Alkaline soil,sugarcane,40,62,116,6.971534247,1.48,Low,High,High,Calcium Ammonium Nitrate (CAN),Borax + Ammonium Molybdate mixture,Sulphur (Tea prefers acidic)
23.8,55,82,Black,mustard,54,18,49,9.22,3.12,Optimal,Low,Optimal,Single Super Phosphate (SSP),Borax + Ammonium Molybdate mixture,Gypsum + Sulphur
30.6,92,62,Laterite,moong,112,7,52,6.971534247,0.95,High,Low,Optimal,Triple Super Phosphate (TSP),Zinc Sulphate,None
19.4,46,75,Alkaline soil,moong,59,9,95,6.971534247,0.69,Optimal,Low,High,Reduce N,Ferrous Sulphate + Zinc Sulphate mixture,Sulphur (Tea prefers acidic)
18.7,32,79,Laterite,sugarcane,101,34,110,6.971534247,1.13,High,Optimal,High,Triple Super Phosphate (TSP),Borax + Elemental Sulphur mixture,Compost (Coffee prefers slightly acidic)
24.3,69,65,Arid,bajra,70,89,43,6.971534247,1.03,Optimal,High,Optimal,Avoid Potash,Ferrous Sulphate + Zinc Sulphate mixture,None
26.5,66,53,Clayey,mustard,114,85,94,6.971534247,1.05,High,High,High,Avoid Potash,Zinc Sulphate + Borax mixture,None
29,95,46,Red,soyabean,0,2,92,6.971534247,0.81,Low,Low,High,Muriate of Potash (MOP),Gypsum + Borax mixture,Gypsum
31.9,58,56,Arid,sugarcane,33,32,105,6.971534247,1.21,Low,Optimal,High,Avoid Phosphate application,Borax + Zinc Sulphate mixture,Gypsum + Organic matter
27.4,80,69,Black,soyabean,115,79,68,6.971534247,0.89,High,High,Optimal,Rock Phosphate,Borax + Ammonium Molybdate mixture,None
