Nitrogen(mg/kg),Phosphorus(mg/kg),Potassium(mg/kg),Crop_Type,pH,Electrical_Conductivity,Soil_Moisture,Soil_Temperture,N_Status,P_Status,K_Status,Primary_Fertilizer,pH_Amendment
89,33,145,Barley,7.02,3315,67,19,Low,Low,Optimal,urea_dap_mixture,Wood Ash
159,27,144,Wheat,8.13,2322,63,22,Optimal,Optimal,Optimal,ammonium_nitrate,Wood Ash
191,34,70,Ragi,6.8,2821,56,24,Optimal,Low,Optimal,ammonium_chloride,Agricultural Lime
90,25,98,Sugarcane,7.87,1305,71,28,Optimal,Optimal,Optimal,balanced_npk_maintenance,Ferrous Sulphate
83,29,145,Garlic,8.41,3430,68,20,Low,Low,Optimal,triple_super_phosphate_tsp,Quicklime
88,15,128,Jowar,5.65,1370,57,25,Low,Optimal,Low,potassium_carbonate,Agricultural Lime
94,24,91,Mustard,8.22,2388,72,25,Optimal,Low,Optimal,urea,Dolomite
153,24,87,Rice,6.26,864,67,16,Optimal,Optimal,Low,ammonium_chloride,Balance Maintain
89,20,90,Onion,6.2,2972,52,29,Optimal,Optimal,Optimal,potassium_carbonate,Elemental Sulphur
189,19,166,Maize,7.79,1972,64,28,Optimal,Low,Optimal,balanced_npk_maintenance,Ammonium Sulphate
56,34,148,Sugarcane,5.54,1583,55,30,Low,Low,Optimal,ammonium_nitrate,Wood Ash
191,27,85,Barley,8.2,3445,53,15,Optimal,Optimal,Optimal,urea_ammonium_nitrate_uan,Hydrated Lime
157,19,93,Sugarcane,7.93,3432,62,16,Low,Optimal,Optimal,potassium_nitrate,Aluminium Sulphate
168,25,101,Cotton,5.6,3361,54,25,Optimal,Low,Optimal,ammonium_sulphate,Ferrous Sulphate
116,21,117,Soybean,7.13,853,60,19,Optimal,Optimal,Optimal,urea_mop_mixture,Elemental Sulphur
164,24,130,Garlic,7.28,3461,79,17,Optimal,Low,Low,urea_ammonium_nitrate_uan,Aluminium Sulphate
124,27,129,Jowar,8.05,1970,69,27,Low,Optimal,Optimal,urea_mop_mixture,Wood Ash
78,25,150,Onion,6.76,2037,72,24,Optimal,Low,Low,diammonium_phosphate_dap,Agricultural Lime
121,22,81,Barley,6.1,1865,74,19,Low,Low,Low,balanced_npk_maintenance,Gypsum
109,25,164,Rice,6.18,3343,72,20,Optimal,Optimal,Low,dap_mop_mixture,Aluminium Sulphate
100,27,111,Ragi,5.59,2243,66,23,Optimal,Low,Low,urea_mop_mixture,Wood Ash
196,25,136,Moong,7.46,1237,53,20,Low,Optimal,Low,ammonium_sulphate,Agricultural Lime
184,30,198,Rice,7.87,3347,51,15,Optimal,Low,Low,triple_super_phosphate_tsp,Aluminium Sulphate
86,24,98,Chickpea,7.17,2761,72,19,Optimal,Optimal,Optimal,potassium_magnesium_sulphate,Quicklime
140,19,60,Groundnut,7.72,2991,66,29,Low,Low,Low,rock_phosphate,Ferrous Sulphate
133,29,131,Mustard,7.32,1072,55,18,Optimal,Low,Optimal,muriate_of_potash_mop,Agricultural Lime
182,25,176,Cotton,6.51,1470,56,19,Optimal,Low,Low,urea_mop_mixture,Hydrated Lime
119,26,155,Barley,6.79,2517,65,22,Optimal,Low,Optimal,ammonium_nitrate,Elemental Sulphur
180,28,177,Sugarcane,6.18,2275,51,24,Low,Low,Low,sulphate_of_potash_sop,Agricultural Lime
81,33,103,Soybean,5.93,3451,52,27,Optimal,Low,Optimal,single_super_phosphate_ssp,Gypsum
111,35,140,Onion,8.43,1378,57,15,Low,Low,Low,diammonium_phosphate_dap,Dolomite
121,12,137,Sugarcane,7.47,1354,71,28,Optimal,Optimal,Optimal,urea_mop_mixture,Dolomite
87,21,139,Bajra,7.99,1880,52,24,Low,Optimal,Optimal,ammonium_sulphate,Elemental Sulphur
193,11,192,Sugarcane,6.33,3421,70,17,Optimal,Optimal,Low,sulphate_of_potash_sop,Elemental Sulphur
103,12,173,Moong,6.03,2840,77,25,Low,Low,Optimal,ammonium_chloride,Wood Ash
131,22,136,Soybean,5.89,950,79,28,Optimal,Low,Low,calcium_ammonium_nitrate_can,Wood Ash
99,12,123,Maize,6.23,1258,51,15,Low,Low,Optimal,ammonium_chloride,Balance Maintain
123,27,180,Moong,8.45,2758,56,26,Low,Low,Optimal,urea_ammonium_nitrate_uan,Dolomite
77,13,126,Soybean,6.27,3094,58,25,Optimal,Low,Optimal,ammonium_chloride,Ammonium Sulphate
123,27,97,Bajra,6.33,2491,80,20,Optimal,Low,Optimal,ammonium_chloride,Ammonium Sulphate
188,29,129,Chickpea,6.31,1897,54,28,Optimal,Optimal,Optimal,urea_mop_mixture,Agricultural Lime
154,19,132,Jowar,8.03,2477,61,30,Optimal,Low,Optimal,potassium_nitrate,Wood Ash
82,29,169,Groundnut,7.15,2271,76,18,Optimal,Low,Optimal,potassium_nitrate,Agricultural Lime
97,32,153,Bajra,5.65,2491,54,24,Optimal,Low,Optimal,rock_phosphate,Wood Ash
85,21,102,Maize,8.18,2658,53,15,Optimal,Low,Low,triple_super_phosphate_tsp,Wood Ash
199,22,194,Garlic,5.52,1885,57,21,Optimal,Low,Low,rock_phosphate,Quicklime
75,11,100,Garlic,6.03,1209,78,23,Optimal,Optimal,Optimal,ammonium_sulphate,Ferrous Sulphate
62,31,117,Mustard,8.4,2556,75,22,Low,Low,Low,rock_phosphate,Elemental Sulphur
155,23,125,Mustard,7.39,2264,54,18,Low,Low,Optimal,muriate_of_potash_mop,Hydrated Lime
41,19,174,Mustard,5.55,2542,68,18,Low,Low,Optimal,sulphate_of_potash_sop,Dolomite
186,27,128,Bajra,7.85,2647,73,17,Optimal,Optimal,Optimal,sulphate_of_potash_sop,Balance Maintain
103,33,113,Wheat,6.63,1858,75,28,Low,Optimal,Low,rock_phosphate,Wood Ash
136,12,103,Sugarcane,8.0,2360,54,19,Low,Low,Optimal,single_super_phosphate_ssp,Wood Ash
165,22,73,Soybean,7.77,1091,77,25,Low,Low,Low,triple_super_phosphate_tsp,Ferrous Sulphate
46,30,114,Barley,6.45,851,80,17,Low,Low,Optimal,ammonium_nitrate,Hydrated Lime
51,27,114,Maize,7.46,2047,60,25,Optimal,Low,Optimal,rock_phosphate,Elemental Sulphur
98,21,84,Onion,5.59,1887,56,25,Optimal,Optimal,Optimal,potassium_magnesium_sulphate,Wood Ash
110,29,167,Onion,6.39,2110,72,15,Optimal,Optimal,Low,triple_super_phosphate_tsp,Wood Ash
197,11,192,Soybean,5.56,1739,64,27,Low,Optimal,Optimal,urea_ammonium_nitrate_uan,Ammonium Sulphate
67,35,160,Bajra,6.09,2222,50,24,Low,Optimal,Low,ammonium_nitrate,Elemental Sulphur
111,20,97,Maize,7.04,2406,59,29,Low,Optimal,Optimal,ammonium_chloride,Ammonium Sulphate
94,35,196,Maize,5.62,1052,78,15,Optimal,Low,Optimal,potassium_carbonate,Hydrated Lime
188,33,199,Rice,6.34,896,64,29,Low,Low,Optimal,sulphate_of_potash_sop,Ferrous Sulphate
193,30,171,Moong,6.05,3109,75,25,Optimal,Low,Optimal,urea_mop_mixture,Wood Ash
55,16,94,Onion,6.98,3141,72,21,Low,Low,Optimal,potassium_magnesium_sulphate,Dolomite
61,31,78,Wheat,5.97,2618,59,27,Optimal,Optimal,Optimal,potassium_nitrate,Agricultural Lime
45,11,75,Moong,7.92,946,55,17,Optimal,Low,Low,potassium_nitrate,Ammonium Sulphate
174,11,200,Mustard,7.49,889,53,18,Low,Optimal,Optimal,ammonium_nitrate,Dolomite
56,17,134,Barley,6.26,2466,52,21,Optimal,Optimal,Optimal,ammonium_chloride,Aluminium Sulphate
136,16,116,Bajra,7.95,2284,70,28,Optimal,Low,Low,sulphate_of_potash_sop,Dolomite
113,27,161,Onion,6.74,1240,73,27,Low,Optimal,Optimal,urea_mop_mixture,Ammonium Sulphate
43,23,160,Onion,7.94,2405,67,28,Optimal,Optimal,Optimal,muriate_of_potash_mop,Agricultural Lime
157,34,159,Soybean,5.92,2192,66,23,Low,Optimal,Optimal,potassium_magnesium_sulphate,Balance Maintain
56,28,65,Ragi,8.12,809,58,24,Optimal,Low,Low,balanced_npk_maintenance,Quicklime
100,28,156,Sugarcane,6.84,2576,64,21,Low,Low,Low,potassium_magnesium_sulphate,Aluminium Sulphate
123,22,156,Bajra,7.29,1556,80,20,Low,Low,Optimal,ammonium_chloride,Quicklime
140,15,174,Mustard,7.4,2275,64,27,Optimal,Optimal,Low,ammonium_sulphate,Balance Maintain
175,10,83,Mustard,6.71,1985,80,25,Low,Optimal,Optimal,dap_mop_mixture,Agricultural Lime
195,35,83,Soybean,7.09,2077,59,15,Low,Optimal,Optimal,triple_super_phosphate_tsp,Elemental Sulphur
164,17,67,Bajra,7.65,1644,58,28,Low,Low,Optimal,calcium_ammonium_nitrate_can,Agricultural Lime
82,18,168,Mustard,7.4,2230,52,24,Low,Optimal,Low,diammonium_phosphate_dap,Agricultural Lime
198,23,99,Ragi,6.46,1677,66,25,Optimal,Low,Low,potassium_nitrate,Elemental Sulphur
141,34,148,Cotton,8.43,3023,68,21,Optimal,Low,Low,dap_mop_mixture,Elemental Sulphur
107,12,176,Cotton,8.39,1804,68,21,Low,Low,Optimal,rock_phosphate,Balance Maintain
43,28,172,Barley,6.19,1753,69,15,Low,Optimal,Optimal,potassium_carbonate,Ammonium Sulphate
95,33,111,Moong,5.51,1404,53,23,Low,Optimal,Low,urea_mop_mixture,Balance Maintain
117,13,165,Groundnut,8.25,1166,80,29,Low,Low,Low,urea,Agricultural Lime
121,30,190,Rice,6.12,2732,52,17,Optimal,Low,Low,potassium_magnesium_sulphate,Ferrous Sulphate
163,14,76,Garlic,6.2,1555,61,22,Optimal,Low,Low,ammonium_sulphate,Hydrated Lime
154,12,80,Cotton,6.52,2968,60,22,Optimal,Optimal,Low,diammonium_phosphate_dap,Agricultural Lime
106,12,138,Maize,7.4,3263,50,17,Low,Optimal,Low,urea,Dolomite
181,32,116,Barley,7.86,1950,51,27,Low,Low,Optimal,potassium_magnesium_sulphate,Aluminium Sulphate
184,24,108,Ragi,6.43,1324,79,24,Low,Low,Low,triple_super_phosphate_tsp,Ferrous Sulphate
194,32,135,Chickpea,8.42,909,80,21,Low,Optimal,Optimal,ammonium_sulphate,Wood Ash
90,28,160,Chickpea,6.02,1700,62,15,Optimal,Optimal,Low,triple_super_phosphate_tsp,Ammonium Sulphate
196,28,69,Rice,7.42,3322,51,15,Optimal,Optimal,Optimal,ammonium_sulphate,Ammonium Sulphate
121,12,182,Sugarcane,8.25,3394,78,28,Optimal,Low,Optimal,potassium_magnesium_sulphate,Quicklime
164,10,76,Jowar,7.69,3115,56,16,Optimal,Optimal,Optimal,potassium_nitrate,Elemental Sulphur
191,31,193,Ragi,7.05,2252,71,21,Low,Optimal,Low,monoammonium_phosphate_map,Balance Maintain
138,23,149,Bajra,5.75,2576,77,27,Optimal,Low,Optimal,potassium_carbonate,Dolomite
155,20,163,Cotton,6.18,2848,80,16,Low,Optimal,Optimal,ammonium_nitrate,Agricultural Lime
185,14,147,Garlic,7.51,1841,76,29,Optimal,Optimal,Optimal,potassium_carbonate,Gypsum
94,16,151,Moong,7.79,2024,65,19,Low,Low,Optimal,potassium_nitrate,Balance Maintain
132,12,160,Cotton,6.37,2467,57,26,Optimal,Optimal,Low,triple_super_phosphate_tsp,Wood Ash
63,28,170,Rice,5.84,1715,77,19,Optimal,Optimal,Optimal,triple_super_phosphate_tsp,Ferrous Sulphate
89,28,111,Soybean,8.48,2429,61,28,Low,Optimal,Optimal,potassium_carbonate,Ammonium Sulphate
191,34,162,Garlic,7.54,2673,54,15,Optimal,Low,Optimal,potassium_nitrate,Aluminium Sulphate
179,17,183,Garlic,8.34,2109,70,17,Low,Low,Low,monoammonium_phosphate_map,Gypsum
171,12,155,Groundnut,6.3,981,63,22,Optimal,Low,Optimal,ammonium_chloride,Dolomite
113,26,121,Ragi,7.51,2043,61,28,Optimal,Low,Low,sulphate_of_potash_sop,Ammonium Sulphate
110,16,122,Bajra,8.23,3326,69,24,Optimal,Low,Low,urea,Wood Ash
140,16,80,Maize,7.19,2729,61,28,Optimal,Optimal,Low,potassium_nitrate,Hydrated Lime
120,20,182,Barley,7.42,1688,69,16,Low,Optimal,Low,dap_mop_mixture,Agricultural Lime
150,20,89,Groundnut,6.45,2331,75,18,Low,Optimal,Low,ammonium_nitrate,Balance Maintain
88,26,87,Sugarcane,6.9,2165,67,22,Optimal,Optimal,Low,muriate_of_potash_mop,Elemental Sulphur
141,13,132,Moong,6.21,2317,69,16,Low,Low,Low,ammonium_sulphate,Dolomite
167,27,178,Chickpea,7.83,2046,67,27,Optimal,Optimal,Optimal,urea_mop_mixture,Gypsum
55,29,74,Wheat,5.56,1752,69,22,Optimal,Optimal,Low,calcium_ammonium_nitrate_can,Elemental Sulphur
85,23,157,Onion,6.34,1898,58,26,Low,Optimal,Optimal,ammonium_chloride,Aluminium Sulphate
161,17,76,Soybean,7.23,1197,53,18,Optimal,Low,Low,potassium_magnesium_sulphate,Hydrated Lime
62,31,151,Cotton,6.27,3280,60,16,Low,Optimal,Optimal,diammonium_phosphate_dap,Balance Maintain
143,18,87,Rice,6.61,2633,77,19,Optimal,Low,Optimal,ammonium_nitrate,Dolomite
171,25,64,Chickpea,8.14,1533,77,29,Low,Optimal,Optimal,potassium_magnesium_sulphate,Wood Ash
137,31,98,Soybean,7.16,2080,62,20,Optimal,Low,Low,rock_phosphate,Dolomite
86,18,117,Cotton,8.06,3092,69,16,Optimal,Optimal,Low,urea_ammonium_nitrate_uan,Agricultural Lime
62,21,200,Sugarcane,7.78,3101,64,18,Optimal,Low,Low,monoammonium_phosphate_map,Quicklime
78,24,73,Maize,6.76,2099,74,20,Optimal,Low,Low,diammonium_phosphate_dap,Ammonium Sulphate
194,21,61,Onion,6.45,2155,58,23,Low,Optimal,Low,urea_dap_mixture,Agricultural Lime
193,15,146,Jowar,7.06,1311,64,21,Optimal,Optimal,Low,triple_super_phosphate_tsp,Balance Maintain
113,13,64,Mustard,6.09,3486,68,27,Optimal,Optimal,Low,urea_mop_mixture,Hydrated Lime
108,35,71,Bajra,6.8,1127,55,29,Low,Optimal,Optimal,potassium_nitrate,Quicklime
118,32,120,Rice,6.46,1335,52,24,Low,Optimal,Optimal,muriate_of_potash_mop,Ammonium Sulphate
64,24,139,Maize,8.41,2897,73,20,Optimal,Low,Optimal,urea_mop_mixture,Quicklime
103,21,185,Rice,8.42,1747,58,29,Optimal,Optimal,Optimal,triple_super_phosphate_tsp,Elemental Sulphur
154,11,153,Cotton,7.97,2180,73,25,Optimal,Low,Optimal,potassium_magnesium_sulphate,Aluminium Sulphate
85,10,148,Onion,7.21,3034,77,26,Low,Low,Optimal,diammonium_phosphate_dap,Wood Ash
64,23,151,Chickpea,6.02,1941,80,22,Low,Low,Low,urea,Agricultural Lime
59,14,136,Maize,8.2,3309,51,18,Low,Optimal,Low,muriate_of_potash_mop,Balance Maintain
173,27,147,Moong,5.65,2369,73,25,Low,Optimal,Optimal,triple_super_phosphate_tsp,Wood Ash
150,31,68,Cotton,7.99,3467,80,25,Low,Low,Optimal,monoammonium_phosphate_map,Dolomite
147,10,164,Maize,7.38,3151,63,26,Optimal,Optimal,Optimal,diammonium_phosphate_dap,Wood Ash
130,30,94,Bajra,7.97,2485,57,24,Low,Low,Low,rock_phosphate,Quicklime
147,31,153,Sugarcane,6.96,2755,50,16,Optimal,Optimal,Low,potassium_nitrate,Wood Ash
65,15,125,Jowar,7.22,1833,57,24,Low,Low,Optimal,balanced_npk_maintenance,Balance Maintain
113,10,116,Ragi,7.14,877,69,28,Optimal,Low,Optimal,ammonium_chloride,Wood Ash
156,29,75,Mustard,7.82,2634,61,24,Low,Optimal,Low,urea_mop_mixture,Wood Ash
80,16,105,Mustard,8.18,1823,70,27,Optimal,Optimal,Low,rock_phosphate,Balance Maintain
88,14,113,Bajra,7.05,2542,70,18,Optimal,Optimal,Low,urea_ammonium_nitrate_uan,Wood Ash
125,26,76,Groundnut,7.31,2328,80,22,Optimal,Low,Low,muriate_of_potash_mop,Dolomite
152,18,148,Soybean,5.54,2628,61,23,Low,Optimal,Optimal,dap_mop_mixture,Agricultural Lime
121,27,100,Jowar,6.47,1218,52,28,Low,Optimal,Low,single_super_phosphate_ssp,Ferrous Sulphate
101,30,127,Moong,7.94,2574,67,27,Low,Optimal,Low,urea,Ammonium Sulphate
100,11,60,Cotton,6.37,2228,52,22,Optimal,Optimal,Low,ammonium_chloride,Aluminium Sulphate
86,35,199,Barley,6.64,1009,71,19,Optimal,Optimal,Low,rock_phosphate,Quicklime
187,10,186,Barley,7.91,1074,67,28,Optimal,Low,Optimal,diammonium_phosphate_dap,Quicklime
195,27,109,Moong,7.35,968,78,16,Optimal,Low,Optimal,sulphate_of_potash_sop,Dolomite
168,15,114,Chickpea,6.82,3093,72,30,Optimal,Low,Optimal,triple_super_phosphate_tsp,Ferrous Sulphate
46,16,63,Jowar,8.36,2961,76,29,Low,Optimal,Low,sulphate_of_potash_sop,Ammonium Sulphate
200,34,163,Onion,7.31,1129,72,16,Optimal,Low,Optimal,urea_dap_mixture,Dolomite
154,32,88,Groundnut,8.0,1107,77,21,Low,Low,Low,urea_dap_mixture,Gypsum
122,27,94,Maize,6.01,1384,63,16,Optimal,Optimal,Optimal,urea_dap_mixture,Aluminium Sulphate
156,27,132,Chickpea,7.59,1942,65,16,Low,Optimal,Low,sulphate_of_potash_sop,Wood Ash
123,35,167,Soybean,5.58,2143,58,19,Optimal,Optimal,Low,triple_super_phosphate_tsp,Quicklime
158,31,100,Ragi,5.61,1736,57,24,Optimal,Optimal,Optimal,potassium_carbonate,Ammonium Sulphate
43,26,99,Soybean,6.93,2375,63,20,Low,Optimal,Low,urea,Gypsum
166,22,128,Soybean,5.89,2537,75,24,Optimal,Low,Low,urea_ammonium_nitrate_uan,Balance Maintain
197,19,112,Barley,7.38,2943,53,24,Optimal,Low,Low,potassium_carbonate,Hydrated Lime
62,32,142,Maize,7.91,3044,52,30,Low,Optimal,Low,potassium_nitrate,Aluminium Sulphate
153,28,116,Jowar,7.8,2680,52,23,Optimal,Low,Low,potassium_nitrate,Ammonium Sulphate
179,22,141,Jowar,6.57,865,77,27,Optimal,Optimal,Optimal,ammonium_chloride,Ferrous Sulphate
110,16,198,Wheat,8.28,2068,67,20,Low,Low,Low,balanced_npk_maintenance,Ferrous Sulphate
191,26,136,Groundnut,5.95,2370,77,22,Low,Low,Optimal,diammonium_phosphate_dap,Aluminium Sulphate
195,33,146,Groundnut,7.23,3004,61,27,Optimal,Optimal,Optimal,ammonium_sulphate,Gypsum
133,32,82,Rice,6.56,2235,59,22,Optimal,Low,Optimal,dap_mop_mixture,Elemental Sulphur
91,14,150,Ragi,6.55,1565,69,27,Optimal,Optimal,Optimal,dap_mop_mixture,Ferrous Sulphate
79,20,190,Chickpea,7.95,1710,72,27,Low,Optimal,Optimal,potassium_magnesium_sulphate,Ferrous Sulphate
93,31,81,Mustard,7.89,3142,54,20,Optimal,Optimal,Optimal,single_super_phosphate_ssp,Agricultural Lime
194,26,104,Mustard,5.58,2416,72,25,Optimal,Low,Optimal,urea_ammonium_nitrate_uan,Dolomite
58,27,170,Jowar,6.05,1271,75,25,Low,Optimal,Low,potassium_nitrate,Balance Maintain
124,14,62,Garlic,8.22,1809,80,27,Low,Low,Low,triple_super_phosphate_tsp,Gypsum
58,22,113,Sugarcane,6.9,2212,78,30,Low,Optimal,Optimal,urea,Aluminium Sulphate
45,33,187,Ragi,6.47,1009,60,17,Optimal,Optimal,Optimal,ammonium_sulphate,Agricultural Lime
76,14,160,Onion,5.82,1551,74,23,Low,Low,Low,urea_ammonium_nitrate_uan,Quicklime
136,18,96,Chickpea,7.78,2784,70,21,Low,Optimal,Optimal,dap_mop_mixture,Agricultural Lime
60,30,191,Bajra,7.57,2902,60,21,Low,Low,Optimal,muriate_of_potash_mop,Quicklime
117,31,101,Groundnut,6.09,1645,52,25,Low,Low,Optimal,monoammonium_phosphate_map,Dolomite
57,10,162,Groundnut,7.45,1115,74,21,Optimal,Low,Low,rock_phosphate,Quicklime
154,29,179,Cotton,7.41,2184,62,16,Optimal,Low,Low,dap_mop_mixture,Quicklime
96,30,64,Jowar,7.93,2173,69,15,Optimal,Low,Low,diammonium_phosphate_dap,Ammonium Sulphate
112,14,196,Mustard,6.23,1531,68,30,Low,Optimal,Optimal,balanced_npk_maintenance,Hydrated Lime
125,15,154,Onion,8.02,2376,58,25,Optimal,Optimal,Low,muriate_of_potash_mop,Quicklime
142,10,129,Sugarcane,8.03,2309,52,21,Optimal,Optimal,Optimal,ammonium_sulphate,Balance Maintain
133,18,157,Garlic,5.63,857,64,21,Low,Low,Low,ammonium_sulphate,Gypsum
188,15,103,Jowar,6.32,1207,61,21,Optimal,Low,Optimal,balanced_npk_maintenance,Ammonium Sulphate
113,24,144,Groundnut,6.36,1556,55,29,Low,Low,Low,rock_phosphate,Dolomite
112,17,143,Moong,7.69,3131,55,29,Optimal,Optimal,Low,sulphate_of_potash_sop,Ferrous Sulphate
58,28,169,Bajra,6.86,1404,50,21,Optimal,Low,Optimal,single_super_phosphate_ssp,Gypsum
195,29,65,Onion,5.72,3187,61,18,Low,Optimal,Optimal,muriate_of_potash_mop,Agricultural Lime
46,15,168,Barley,6.57,1702,58,25,Low,Low,Optimal,potassium_carbonate,Hydrated Lime
98,19,189,Garlic,8.31,3245,54,20,Optimal,Optimal,Optimal,urea_dap_mixture,Dolomite
88,21,124,Rice,5.57,1077,73,25,Optimal,Low,Low,potassium_nitrate,Aluminium Sulphate
99,16,180,Soybean,7.14,3422,68,28,Optimal,Low,Optimal,urea_mop_mixture,Hydrated Lime
54,32,106,Barley,5.51,2853,71,30,Low,Low,Low,ammonium_nitrate,Wood Ash
121,17,170,Groundnut,7.77,2261,68,24,Low,Low,Low,potassium_carbonate,Wood Ash
50,27,108,Maize,8.47,1016,69,22,Low,Optimal,Optimal,urea_ammonium_nitrate_uan,Dolomite
172,15,85,Bajra,6.52,2037,75,19,Optimal,Optimal,Optimal,balanced_npk_maintenance,Dolomite
190,33,168,Wheat,7.07,1966,69,17,Low,Low,Low,ammonium_nitrate,Elemental Sulphur
130,35,67,Mustard,6.86,864,56,15,Low,Low,Optimal,ammonium_nitrate,Ferrous Sulphate
184,12,187,Cotton,7.9,865,64,19,Optimal,Low,Optimal,muriate_of_potash_mop,Agricultural Lime
125,17,120,Ragi,7.68,1700,52,30,Optimal,Low,Low,ammonium_sulphate,Hydrated Lime
184,28,189,Wheat,6.51,1645,52,21,Low,Optimal,Low,urea,Dolomite
145,28,162,Bajra,8.12,2601,59,24,Optimal,Optimal,Optimal,rock_phosphate,Dolomite
149,32,83,Maize,7.39,1173,63,20,Low,Low,Low,urea_dap_mixture,Wood Ash
192,21,89,Ragi,6.21,2996,53,28,Low,Low,Low,muriate_of_potash_mop,Gypsum
47,18,75,Ragi,6.63,1762,75,28,Low,Low,Low,urea_mop_mixture,Wood Ash
112,10,165,Bajra,8.22,2570,74,29,Optimal,Low,Optimal,urea,Wood Ash
128,15,91,Maize,7.75,911,57,28,Low,Optimal,Optimal,monoammonium_phosphate_map,Quicklime
137,11,160,Onion,5.54,1662,68,26,Optimal,Optimal,Low,urea_ammonium_nitrate_uan,Gypsum
61,30,140,Mustard,7.34,947,78,24,Optimal,Optimal,Low,rock_phosphate,Balance Maintain
69,26,125,Jowar,7.56,901,59,20,Optimal,Optimal,Low,sulphate_of_potash_sop,Quicklime
78,23,163,Barley,6.28,1465,67,24,Low,Low,Low,balanced_npk_maintenance,Balance Maintain
132,35,174,Wheat,7.45,2062,73,18,Optimal,Low,Optimal,potassium_magnesium_sulphate,Gypsum
89,30,95,Maize,7.23,3073,63,28,Optimal,Low,Low,sulphate_of_potash_sop,Ammonium Sulphate
88,18,113,Ragi,6.09,1461,60,20,Low,Low,Optimal,potassium_carbonate,Aluminium Sulphate
173,15,123,Rice,7.34,2969,78,18,Low,Optimal,Optimal,sulphate_of_potash_sop,Gypsum
141,23,107,Cotton,7.28,2082,52,20,Optimal,Low,Optimal,potassium_carbonate,Balance Maintain
71,24,142,Ragi,7.79,1307,77,19,Low,Low,Low,balanced_npk_maintenance,Quicklime
72,26,141,Garlic,6.52,1403,64,22,Optimal,Low,Optimal,muriate_of_potash_mop,Agricultural Lime
66,23,129,Jowar,7.85,3347,60,15,Optimal,Low,Low,urea_ammonium_nitrate_uan,Balance Maintain
133,25,105,Chickpea,8.46,938,73,30,Low,Low,Optimal,dap_mop_mixture,Elemental Sulphur
187,17,145,Barley,5.7,2722,61,30,Low,Optimal,Optimal,potassium_carbonate,Agricultural Lime
101,16,64,Soybean,5.94,1879,78,15,Low,Optimal,Low,dap_mop_mixture,Aluminium Sulphate
178,35,111,Cotton,8.26,2877,73,27,Optimal,Low,Optimal,diammonium_phosphate_dap,Aluminium Sulphate
98,19,98,Onion,7.71,1607,57,29,Low,Optimal,Optimal,single_super_phosphate_ssp,Elemental Sulphur
171,25,142,Ragi,5.93,3173,50,15,Low,Optimal,Low,urea_mop_mixture,Elemental Sulphur
43,17,80,Groundnut,7.54,1299,79,22,Low,Low,Low,sulphate_of_potash_sop,Elemental Sulphur
51,16,115,Sugarcane,5.52,976,74,24,Low,Low,Low,sulphate_of_potash_sop,Ferrous Sulphate
91,35,127,Ragi,6.78,2646,78,23,Optimal,Low,Low,monoammonium_phosphate_map,Agricultural Lime
115,33,62,Wheat,7.16,2539,79,29,Optimal,Optimal,Low,urea_ammonium_nitrate_uan,Elemental Sulphur
175,30,138,Maize,7.37,1555,73,25,Low,Optimal,Optimal,diammonium_phosphate_dap,Gypsum
89,13,99,Bajra,7.43,1202,51,19,Low,Low,Low,muriate_of_potash_mop,Aluminium Sulphate
96,31,174,Jowar,8.28,2859,52,17,Optimal,Low,Optimal,muriate_of_potash_mop,Balance Maintain
155,35,184,Bajra,5.74,3406,73,27,Low,Optimal,Low,dap_mop_mixture,Elemental Sulphur
179,31,126,Sugarcane,6.78,991,73,17,Low,Optimal,Low,potassium_magnesium_sulphate,Wood Ash
186,13,147,Rice,6.26,3048,71,26,Optimal,Optimal,Low,ammonium_nitrate,Dolomite
62,27,168,Barley,8.44,1873,53,23,Optimal,Optimal,Low,diammonium_phosphate_dap,Elemental Sulphur
174,32,127,Ragi,7.7,1832,80,16,Optimal,Optimal,Optimal,sulphate_of_potash_sop,Gypsum
108,15,126,Garlic,8.24,1305,60,15,Optimal,Low,Low,rock_phosphate,Agricultural Lime
89,12,138,Groundnut,6.83,2986,78,15,Optimal,Optimal,Low,ammonium_chloride,Hydrated Lime
74,25,140,Rice,5.63,2634,70,27,Low,Optimal,Low,ammonium_sulphate,Hydrated Lime
176,25,200,Maize,7.26,2333,70,25,Optimal,Optimal,Low,urea_dap_mixture,Ferrous Sulphate
47,27,155,Groundnut,6.76,2802,58,19,Optimal,Optimal,Low,calcium_ammonium_nitrate_can,Ferrous Sulphate
138,20,115,Moong,7.9,2716,62,26,Low,Optimal,Optimal,calcium_ammonium_nitrate_can,Aluminium Sulphate
51,17,131,Mustard,6.08,2034,80,25,Optimal,Optimal,Optimal,muriate_of_potash_mop,Ferrous Sulphate
175,22,81,Onion,7.42,1096,51,24,Optimal,Low,Low,dap_mop_mixture,Balance Maintain
67,34,198,Barley,7.37,3157,74,22,Low,Optimal,Optimal,monoammonium_phosphate_map,Balance Maintain
150,28,95,Cotton,6.12,2511,78,21,Low,Low,Low,urea,Gypsum
152,10,67,Jowar,6.47,1115,55,21,Low,Low,Optimal,monoammonium_phosphate_map,Agricultural Lime
59,24,182,Onion,6.35,1797,56,16,Low,Low,Optimal,potassium_magnesium_sulphate,Quicklime
186,19,95,Moong,6.6,1648,67,15,Low,Optimal,Low,monoammonium_phosphate_map,Elemental Sulphur
